START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
5/12/2015,7:10 PM,7:10 PM,Rays,Tropicana Field,5/12/2015,5/12/2015,10:10 PM,10:10 PM
5/13/2015,7:10 PM,7:10 PM,Rays,Tropicana Field,5/13/2015,5/13/2015,10:10 PM,10:10 PM
5/14/2015,7:10 PM,7:10 PM,Rays,Tropicana Field,5/14/2015,5/14/2015,10:10 PM,10:10 PM
5/15/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,5/15/2015,5/15/2015,6:33 AM,6:33 AM
5/16/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,5/16/2015,5/16/2015,6:33 AM,6:33 AM
5/17/2015,3:33 AM,3:33 AM,Royals,Kauffman Stadium,5/17/2015,5/17/2015,6:33 AM,6:33 AM
5/19/2015,7:05 PM,7:05 PM,Nationals,Nationals Park,5/19/2015,5/19/2015,10:05 PM,10:05 PM
5/20/2015,7:05 PM,7:05 PM,Nationals,Nationals Park,5/20/2015,5/20/2015,10:05 PM,10:05 PM
5/22/2015,7:05 PM,7:05 PM,Rangers,Yankee Stadium,5/22/2015,5/22/2015,10:05 PM,10:05 PM
5/23/2015,1:05 PM,1:05 PM,Rangers,Yankee Stadium,5/23/2015,5/23/2015,4:05 PM,4:05 PM
5/24/2015,3:33 AM,3:33 AM,Rangers,Yankee Stadium,5/24/2015,5/24/2015,6:33 AM,6:33 AM
5/25/2015,1:05 PM,1:05 PM,Royals,Yankee Stadium,5/25/2015,5/25/2015,4:05 PM,4:05 PM
5/26/2015,7:05 PM,7:05 PM,Royals,Yankee Stadium,5/26/2015,5/26/2015,10:05 PM,10:05 PM
5/27/2015,1:05 PM,1:05 PM,Royals,Yankee Stadium,5/27/2015,5/27/2015,4:05 PM,4:05 PM
5/28/2015,10:05 PM,10:05 PM,Athletics,O.co Coliseum,5/29/2015,5/29/2015,1:05 AM,1:05 AM
5/29/2015,10:05 PM,10:05 PM,Athletics,O.co Coliseum,5/30/2015,5/30/2015,1:05 AM,1:05 AM
5/30/2015,10:05 PM,10:05 PM,Athletics,O.co Coliseum,5/31/2015,5/31/2015,1:05 AM,1:05 AM
5/31/2015,4:05 PM,4:05 PM,Athletics,O.co Coliseum,5/31/2015,5/31/2015,7:05 PM,7:05 PM
6/1/2015,10:10 PM,10:10 PM,Mariners,Safeco Field,6/2/2015,6/2/2015,1:10 AM,1:10 AM
6/2/2015,10:10 PM,10:10 PM,Mariners,Safeco Field,6/3/2015,6/3/2015,1:10 AM,1:10 AM
6/3/2015,3:40 PM,3:40 PM,Mariners,Safeco Field,6/3/2015,6/3/2015,6:40 PM,6:40 PM
6/5/2015,7:05 PM,7:05 PM,Angels,Yankee Stadium,6/5/2015,6/5/2015,10:05 PM,10:05 PM
