START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
08/30/14,05:40 PM,08:40 PM,Padres,Petco Park,"Local TV: SportsNet LA ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",08/30/14,08/30/14,08:40 PM,11:40 PM,FALSE,TRUE,08/30/14,04:40 PM,07:40 PM,FREE,BUSY
08/31/14,01:10 PM,04:10 PM,Padres,Petco Park,"Local TV: SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",08/31/14,08/31/14,04:10 PM,07:10 PM,FALSE,TRUE,08/31/14,12:10 PM,03:10 PM,FREE,BUSY
09/01/14,05:10 PM,08:10 PM,Nationals,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",09/01/14,09/01/14,08:10 PM,11:10 PM,FALSE,TRUE,09/01/14,04:10 PM,07:10 PM,FREE,BUSY
09/02/14,07:10 PM,10:10 PM,Nationals,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",09/02/14,09/03/14,10:10 PM,01:10 AM,FALSE,TRUE,09/02/14,06:10 PM,09:10 PM,FREE,BUSY
09/03/14,12:10 PM,03:10 PM,Nationals,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",09/03/14,09/03/14,03:10 PM,06:10 PM,FALSE,TRUE,09/03/14,11:10 AM,02:10 PM,FREE,BUSY
09/05/14,07:10 PM,10:10 PM,D-backs,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",09/05/14,09/06/14,10:10 PM,01:10 AM,FALSE,TRUE,09/05/14,06:10 PM,09:10 PM,FREE,BUSY
09/06/14,06:10 PM,09:10 PM,D-backs,Dodger Stadium,"Local TV: SportsNet LA ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",09/06/14,09/07/14,09:10 PM,12:10 AM,FALSE,TRUE,09/06/14,05:10 PM,08:10 PM,FREE,BUSY
09/07/14,03:33 AM,03:33 AM,D-backs,Dodger Stadium,"Local TV: SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",09/07/14,09/07/14,06:33 AM,06:33 AM,FALSE,TRUE,09/07/14,02:33 AM,02:33 AM,FREE,BUSY
09/08/14,07:10 PM,10:10 PM,Padres,Dodger Stadium,"Local TV: SportsNet LA -- SNLA Spanish ----- Local Radio: 570 Fox Sports L.A. -- KTNQ 1020",09/08/14,09/09/14,10:10 PM,01:10 AM,FALSE,TRUE,09/08/14,06:10 PM,09:10 PM,FREE,BUSY
09/09/14,07:10 PM,10:10 PM,Padres,Dodger Stadium,"Local TV: SNLA Spanish -- SportsNet LA ----- Local Radio: KTNQ 1020 -- 570 Fox Sports L.A.",09/09/14,09/10/14,10:10 PM,01:10 AM,FALSE,TRUE,09/09/14,06:10 PM,09:10 PM,FREE,BUSY
