START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
5/17/2015,1:10 PM,4:10 PM,Rockies,Dodger Stadium,5/17/2015,5/17/2015,4:10 PM,7:10 PM
5/19/2015,7:15 PM,10:15 PM,Giants,AT&T Park,5/19/2015,5/20/2015,10:15 PM,1:15 AM
5/20/2015,7:15 PM,10:15 PM,Giants,AT&T Park,5/20/2015,5/21/2015,10:15 PM,1:15 AM
5/21/2015,12:45 PM,3:45 PM,Giants,AT&T Park,5/21/2015,5/21/2015,3:45 PM,6:45 PM
5/22/2015,7:10 PM,10:10 PM,Padres,Dodger Stadium,5/22/2015,5/23/2015,10:10 PM,1:10 AM
5/23/2015,7:10 PM,10:10 PM,Padres,Dodger Stadium,5/23/2015,5/24/2015,10:10 PM,1:10 AM
5/24/2015,1:10 PM,4:10 PM,Padres,Dodger Stadium,5/24/2015,5/24/2015,4:10 PM,7:10 PM
5/25/2015,5:10 PM,8:10 PM,Braves,Dodger Stadium,5/25/2015,5/25/2015,8:10 PM,11:10 PM
5/26/2015,7:10 PM,10:10 PM,Braves,Dodger Stadium,5/26/2015,5/27/2015,10:10 PM,1:10 AM
5/27/2015,7:10 PM,10:10 PM,Braves,Dodger Stadium,5/27/2015,5/28/2015,10:10 PM,1:10 AM
5/29/2015,5:15 PM,8:15 PM,Cardinals,Busch Stadium,5/29/2015,5/29/2015,8:15 PM,11:15 PM
5/30/2015,4:15 PM,7:15 PM,Cardinals,Busch Stadium,5/30/2015,5/30/2015,7:15 PM,10:15 PM
5/31/2015,11:15 AM,2:15 PM,Cardinals,Busch Stadium,5/31/2015,5/31/2015,2:15 PM,5:15 PM
6/1/2015,5:40 PM,8:40 PM,Rockies,Coors Field,6/1/2015,6/1/2015,8:40 PM,11:40 PM
6/2/2015,5:40 PM,8:40 PM,Rockies,Coors Field,6/2/2015,6/2/2015,8:40 PM,11:40 PM
6/3/2015,5:40 PM,8:40 PM,Rockies,Coors Field,6/3/2015,6/3/2015,8:40 PM,11:40 PM
6/4/2015,7:10 PM,10:10 PM,Cardinals,Dodger Stadium,6/4/2015,6/5/2015,10:10 PM,1:10 AM
6/5/2015,7:10 PM,10:10 PM,Cardinals,Dodger Stadium,6/5/2015,6/6/2015,10:10 PM,1:10 AM
6/6/2015,7:10 PM,10:10 PM,Cardinals,Dodger Stadium,6/6/2015,6/7/2015,10:10 PM,1:10 AM
6/7/2015,3:33 AM,3:33 AM,Cardinals,Dodger Stadium,6/7/2015,6/7/2015,6:33 AM,6:33 AM
6/8/2015,7:10 PM,10:10 PM,D-backs,Dodger Stadium,6/8/2015,6/9/2015,10:10 PM,1:10 AM
6/9/2015,7:10 PM,10:10 PM,D-backs,Dodger Stadium,6/9/2015,6/10/2015,10:10 PM,1:10 AM
6/10/2015,7:10 PM,10:10 PM,D-backs,Dodger Stadium,6/10/2015,6/11/2015,10:10 PM,1:10 AM
6/12/2015,3:33 AM,3:33 AM,Padres,Petco Park,6/12/2015,6/12/2015,6:33 AM,6:33 AM
6/13/2015,3:33 AM,3:33 AM,Padres,Petco Park,6/13/2015,6/13/2015,6:33 AM,6:33 AM
6/14/2015,3:33 AM,3:33 AM,Padres,Petco Park,6/14/2015,6/14/2015,6:33 AM,6:33 AM
6/15/2015,5:05 PM,8:05 PM,Rangers,Globe Life Park in Arlington,6/15/2015,6/15/2015,8:05 PM,11:05 PM
6/16/2015,5:05 PM,8:05 PM,Rangers,Globe Life Park in Arlington,6/16/2015,6/16/2015,8:05 PM,11:05 PM
6/17/2015,7:10 PM,10:10 PM,Rangers,Dodger Stadium,6/17/2015,6/18/2015,10:10 PM,1:10 AM
6/18/2015,7:10 PM,10:10 PM,Rangers,Dodger Stadium,6/18/2015,6/19/2015,10:10 PM,1:10 AM
6/19/2015,7:10 PM,10:10 PM,Giants,Dodger Stadium,6/19/2015,6/20/2015,10:10 PM,1:10 AM
6/20/2015,4:15 PM,7:15 PM,Giants,Dodger Stadium,6/20/2015,6/20/2015,7:15 PM,10:15 PM
6/21/2015,3:33 AM,3:33 AM,Giants,Dodger Stadium,6/21/2015,6/21/2015,6:33 AM,6:33 AM
6/22/2015,5:05 PM,8:05 PM,Cubs,Wrigley Field,6/22/2015,6/22/2015,8:05 PM,11:05 PM
6/23/2015,5:05 PM,8:05 PM,Cubs,Wrigley Field,6/23/2015,6/23/2015,8:05 PM,11:05 PM
6/24/2015,5:05 PM,8:05 PM,Cubs,Wrigley Field,6/24/2015,6/24/2015,8:05 PM,11:05 PM
6/25/2015,11:20 AM,2:20 PM,Cubs,Wrigley Field,6/25/2015,6/25/2015,2:20 PM,5:20 PM
6/26/2015,4:10 PM,7:10 PM,Marlins,Marlins Park,6/26/2015,6/26/2015,7:10 PM,10:10 PM
6/27/2015,1:10 PM,4:10 PM,Marlins,Marlins Park,6/27/2015,6/27/2015,4:10 PM,7:10 PM
6/28/2015,10:10 AM,1:10 PM,Marlins,Marlins Park,6/28/2015,6/28/2015,1:10 PM,4:10 PM
6/29/2015,6:40 PM,9:40 PM,D-backs,Chase Field,6/29/2015,6/30/2015,9:40 PM,12:40 AM
6/30/2015,6:40 PM,9:40 PM,D-backs,Chase Field,6/30/2015,7/1/2015,9:40 PM,12:40 AM
7/1/2015,6:40 PM,9:40 PM,D-backs,Chase Field,7/1/2015,7/2/2015,9:40 PM,12:40 AM
7/3/2015,7:10 PM,10:10 PM,Mets,Dodger Stadium,7/3/2015,7/4/2015,10:10 PM,1:10 AM
7/4/2015,4:15 PM,7:15 PM,Mets,Dodger Stadium,7/4/2015,7/4/2015,7:15 PM,10:15 PM
7/5/2015,1:10 PM,4:10 PM,Mets,Dodger Stadium,7/5/2015,7/5/2015,4:10 PM,7:10 PM
7/6/2015,7:10 PM,10:10 PM,Phillies,Dodger Stadium,7/6/2015,7/7/2015,10:10 PM,1:10 AM
7/7/2015,7:10 PM,10:10 PM,Phillies,Dodger Stadium,7/7/2015,7/8/2015,10:10 PM,1:10 AM
7/8/2015,7:10 PM,10:10 PM,Phillies,Dodger Stadium,7/8/2015,7/9/2015,10:10 PM,1:10 AM
7/9/2015,7:10 PM,10:10 PM,Phillies,Dodger Stadium,7/9/2015,7/10/2015,10:10 PM,1:10 AM
7/10/2015,7:10 PM,10:10 PM,Brewers,Dodger Stadium,7/10/2015,7/11/2015,10:10 PM,1:10 AM
7/11/2015,7:10 PM,10:10 PM,Brewers,Dodger Stadium,7/11/2015,7/12/2015,10:10 PM,1:10 AM
7/12/2015,1:10 PM,4:10 PM,Brewers,Dodger Stadium,7/12/2015,7/12/2015,4:10 PM,7:10 PM
7/14/2015,3:33 AM,3:33 AM,AL All-Stars at NL All-Stars,Great American Ball Park,7/14/2015,7/14/2015,6:33 AM,6:33 AM
7/17/2015,4:05 PM,7:05 PM,Nationals,Nationals Park,7/17/2015,7/17/2015,7:05 PM,10:05 PM
7/18/2015,1:05 PM,4:05 PM,Nationals,Nationals Park,7/18/2015,7/18/2015,4:05 PM,7:05 PM
7/19/2015,10:35 AM,1:35 PM,Nationals,Nationals Park,7/19/2015,7/19/2015,1:35 PM,4:35 PM
7/20/2015,4:10 PM,7:10 PM,Braves,Turner Field,7/20/2015,7/20/2015,7:10 PM,10:10 PM
7/21/2015,4:10 PM,7:10 PM,Braves,Turner Field,7/21/2015,7/21/2015,7:10 PM,10:10 PM
7/22/2015,9:10 AM,12:10 PM,Braves,Turner Field,7/22/2015,7/22/2015,12:10 PM,3:10 PM
7/23/2015,4:10 PM,7:10 PM,Mets,Citi Field,7/23/2015,7/23/2015,7:10 PM,10:10 PM
7/24/2015,4:10 PM,7:10 PM,Mets,Citi Field,7/24/2015,7/24/2015,7:10 PM,10:10 PM
7/25/2015,4:10 PM,7:10 PM,Mets,Citi Field,7/25/2015,7/25/2015,7:10 PM,10:10 PM
7/26/2015,10:10 AM,1:10 PM,Mets,Citi Field,7/26/2015,7/26/2015,1:10 PM,4:10 PM
7/28/2015,7:10 PM,10:10 PM,Athletics,Dodger Stadium,7/28/2015,7/29/2015,10:10 PM,1:10 AM
7/29/2015,7:10 PM,10:10 PM,Athletics,Dodger Stadium,7/29/2015,7/30/2015,10:10 PM,1:10 AM
7/31/2015,7:10 PM,10:10 PM,Angels,Dodger Stadium,7/31/2015,8/1/2015,10:10 PM,1:10 AM
8/1/2015,1:05 PM,4:05 PM,Angels,Dodger Stadium,8/1/2015,8/1/2015,4:05 PM,7:05 PM
8/2/2015,3:33 AM,3:33 AM,Angels,Dodger Stadium,8/2/2015,8/2/2015,6:33 AM,6:33 AM
8/4/2015,4:05 PM,7:05 PM,Phillies,Citizens Bank Park,8/4/2015,8/4/2015,7:05 PM,10:05 PM
8/5/2015,4:05 PM,7:05 PM,Phillies,Citizens Bank Park,8/5/2015,8/5/2015,7:05 PM,10:05 PM
8/6/2015,10:05 AM,1:05 PM,Phillies,Citizens Bank Park,8/6/2015,8/6/2015,1:05 PM,4:05 PM
