START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
5/20/2015,7:10 PM,7:10 PM,Rangers,Fenway Park,5/20/2015,5/20/2015,10:10 PM,10:10 PM
5/21/2015,7:10 PM,7:10 PM,Rangers,Fenway Park,5/21/2015,5/21/2015,10:10 PM,10:10 PM
5/22/2015,7:10 PM,7:10 PM,Angels,Fenway Park,5/22/2015,5/22/2015,10:10 PM,10:10 PM
5/23/2015,7:15 PM,7:15 PM,Angels,Fenway Park,5/23/2015,5/23/2015,10:15 PM,10:15 PM
5/24/2015,3:33 AM,3:33 AM,Angels,Fenway Park,5/24/2015,5/24/2015,6:33 AM,6:33 AM
5/25/2015,2:10 PM,2:10 PM,Twins,Target Field,5/25/2015,5/25/2015,5:10 PM,5:10 PM
5/26/2015,8:10 PM,8:10 PM,Twins,Target Field,5/26/2015,5/26/2015,11:10 PM,11:10 PM
5/27/2015,1:10 PM,1:10 PM,Twins,Target Field,5/27/2015,5/27/2015,4:10 PM,4:10 PM
5/28/2015,8:05 PM,8:05 PM,Rangers,Globe Life Park in Arlington,5/28/2015,5/28/2015,11:05 PM,11:05 PM
5/29/2015,8:05 PM,8:05 PM,Rangers,Globe Life Park in Arlington,5/29/2015,5/29/2015,11:05 PM,11:05 PM
5/30/2015,7:15 PM,7:15 PM,Rangers,Globe Life Park in Arlington,5/30/2015,5/30/2015,10:15 PM,10:15 PM
5/31/2015,3:05 PM,3:05 PM,Rangers,Globe Life Park in Arlington,5/31/2015,5/31/2015,6:05 PM,6:05 PM
6/1/2015,7:10 PM,7:10 PM,Twins,Fenway Park,6/1/2015,6/1/2015,10:10 PM,10:10 PM
6/2/2015,7:10 PM,7:10 PM,Twins,Fenway Park,6/2/2015,6/2/2015,10:10 PM,10:10 PM
6/3/2015,7:10 PM,7:10 PM,Twins,Fenway Park,6/3/2015,6/3/2015,10:10 PM,10:10 PM
6/4/2015,4:05 PM,4:05 PM,Twins,Fenway Park,6/4/2015,6/4/2015,7:05 PM,7:05 PM
6/5/2015,7:10 PM,7:10 PM,Athletics,Fenway Park,6/5/2015,6/5/2015,10:10 PM,10:10 PM
6/6/2015,4:05 PM,4:05 PM,Athletics,Fenway Park,6/6/2015,6/6/2015,7:05 PM,7:05 PM
6/7/2015,3:33 AM,3:33 AM,Athletics,Fenway Park,6/7/2015,6/7/2015,6:33 AM,6:33 AM
6/9/2015,7:05 PM,7:05 PM,Orioles,Oriole Park at Camden Yards,6/9/2015,6/9/2015,10:05 PM,10:05 PM
6/10/2015,7:05 PM,7:05 PM,Orioles,Oriole Park at Camden Yards,6/10/2015,6/10/2015,10:05 PM,10:05 PM
6/11/2015,7:05 PM,7:05 PM,Orioles,Oriole Park at Camden Yards,6/11/2015,6/11/2015,10:05 PM,10:05 PM
6/12/2015,7:10 PM,7:10 PM,Blue Jays,Fenway Park,6/12/2015,6/12/2015,10:10 PM,10:10 PM
6/13/2015,1:35 PM,1:35 PM,Blue Jays,Fenway Park,6/13/2015,6/13/2015,4:35 PM,4:35 PM
6/14/2015,3:33 AM,3:33 AM,Blue Jays,Fenway Park,6/14/2015,6/14/2015,6:33 AM,6:33 AM
