START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,AT_HOME,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
7/2/2014,19:15:00,22:15:00,Cardinals,AT&T Park,TRUE,,7/2/2014,7/3/2014,22:15:00,1:15:00
7/3/2014,12:45:00,15:45:00,Cardinals,AT&T Park,TRUE,,7/3/2014,7/3/2014,15:45:00,18:45:00
7/4/2014,15:40:00,18:40:00,Padres,Petco Park,FALSE,,7/4/2014,7/4/2014,18:40:00,21:40:00
7/5/2014,16:15:00,19:15:00,Padres,Petco Park,FALSE,Local TV: FOX,7/5/2014,7/5/2014,19:15:00,22:15:00
7/6/2014,13:10:00,16:10:00,Padres,Petco Park,FALSE,,7/6/2014,7/6/2014,16:10:00,19:10:00
7/7/2014,19:05:00,22:05:00,Athletics,O.co Coliseum,FALSE,Local TV: NBC Bay Area,7/7/2014,7/8/2014,22:05:00,1:05:00
7/8/2014,19:05:00,22:05:00,Athletics,O.co Coliseum,FALSE,,7/8/2014,7/9/2014,22:05:00,1:05:00
7/9/2014,19:15:00,22:15:00,Athletics,AT&T Park,TRUE,,7/9/2014,7/10/2014,22:15:00,1:15:00
7/10/2014,12:45:00,15:45:00,Athletics,AT&T Park,TRUE,,7/10/2014,7/10/2014,15:45:00,18:45:00
7/11/2014,19:15:00,22:15:00,D-backs,AT&T Park,TRUE,Local TV: NBC Bay Area,7/11/2014,7/12/2014,22:15:00,1:15:00
7/12/2014,13:05:00,16:05:00,D-backs,AT&T Park,TRUE,,7/12/2014,7/12/2014,16:05:00,19:05:00
7/13/2014,13:05:00,16:05:00,D-backs,AT&T Park,TRUE,,7/13/2014,7/13/2014,16:05:00,19:05:00
7/15/2014,3:33:00,3:33:00,NL All-Stars at AL All-Stars,Target Field,FALSE,,7/15/2014,7/15/2014,6:33:00,6:33:00
7/18/2014,16:10:00,19:10:00,Marlins,Marlins Park,FALSE,,7/18/2014,7/18/2014,19:10:00,22:10:00
7/19/2014,16:10:00,19:10:00,Marlins,Marlins Park,FALSE,,7/19/2014,7/19/2014,19:10:00,22:10:00
7/20/2014,10:10:00,13:10:00,Marlins,Marlins Park,FALSE,,7/20/2014,7/20/2014,13:10:00,16:10:00
7/21/2014,16:05:00,19:05:00,Phillies,Citizens Bank Park,FALSE,,7/21/2014,7/21/2014,19:05:00,22:05:00
7/22/2014,16:05:00,19:05:00,Phillies,Citizens Bank Park,FALSE,,7/22/2014,7/22/2014,19:05:00,22:05:00
7/23/2014,16:05:00,19:05:00,Phillies,Citizens Bank Park,FALSE,,7/23/2014,7/23/2014,19:05:00,22:05:00
7/24/2014,10:05:00,13:05:00,Phillies,Citizens Bank Park,FALSE,,7/24/2014,7/24/2014,13:05:00,16:05:00
7/25/2014,19:15:00,22:15:00,Dodgers,AT&T Park,TRUE,Local TV: NBC Bay Area,7/25/2014,7/26/2014,22:15:00,1:15:00
7/26/2014,18:05:00,21:05:00,Dodgers,AT&T Park,TRUE,,7/26/2014,7/27/2014,21:05:00,0:05:00
7/27/2014,13:05:00,16:05:00,Dodgers,AT&T Park,TRUE,,7/27/2014,7/27/2014,16:05:00,19:05:00
7/28/2014,19:15:00,22:15:00,Pirates,AT&T Park,TRUE,Local TV: NBC Bay Area,7/28/2014,7/29/2014,22:15:00,1:15:00
7/29/2014,19:15:00,22:15:00,Pirates,AT&T Park,TRUE,,7/29/2014,7/30/2014,22:15:00,1:15:00
7/30/2014,12:45:00,15:45:00,Pirates,AT&T Park,TRUE,,7/30/2014,7/30/2014,15:45:00,18:45:00
8/1/2014,16:10:00,19:10:00,Mets,Citi Field,FALSE,,8/1/2014,8/1/2014,19:10:00,22:10:00
8/2/2014,16:10:00,19:10:00,Mets,Citi Field,FALSE,,8/2/2014,8/2/2014,19:10:00,22:10:00
8/3/2014,10:10:00,13:10:00,Mets,Citi Field,FALSE,,8/3/2014,8/3/2014,13:10:00,16:10:00
8/4/2014,9:10:00,12:10:00,Mets,Citi Field,FALSE,,8/4/2014,8/4/2014,12:10:00,15:10:00
8/5/2014,17:10:00,20:10:00,Brewers,Miller Park,FALSE,,8/5/2014,8/5/2014,20:10:00,23:10:00
