START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
04/04/14,03:05 PM,03:05 PM,Twins,Progressive Field,"Local TV: WKYC 3 -- SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/04/14,04/04/14,06:05 PM,06:05 PM,FALSE,TRUE,04/04/14,02:05 PM,02:05 PM,FREE,BUSY
04/05/14,01:05 PM,01:05 PM,Twins,Progressive Field,"Local TV: FS1 ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/05/14,04/05/14,04:05 PM,04:05 PM,FALSE,TRUE,04/05/14,12:05 PM,12:05 PM,FREE,BUSY
04/06/14,01:05 PM,01:05 PM,Twins,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/06/14,04/06/14,04:05 PM,04:05 PM,FALSE,TRUE,04/06/14,12:05 PM,12:05 PM,FREE,BUSY
04/08/14,07:05 PM,07:05 PM,Padres,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/08/14,04/08/14,10:05 PM,10:05 PM,FALSE,TRUE,04/08/14,06:05 PM,06:05 PM,FREE,BUSY
04/09/14,12:05 PM,12:05 PM,Padres,Progressive Field,"Local TV: SportsTime Ohio -- MLBN ----- Local Radio: WTAM 1100",04/09/14,04/09/14,03:05 PM,03:05 PM,FALSE,TRUE,04/09/14,11:05 AM,11:05 AM,FREE,BUSY
04/09/14,03:33 AM,03:33 AM,Padres,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/09/14,04/09/14,06:33 AM,06:33 AM,FALSE,TRUE,04/09/14,02:33 AM,02:33 AM,FREE,BUSY
04/10/14,08:10 PM,08:10 PM,White Sox,U.S. Cellular Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/10/14,04/10/14,11:10 PM,11:10 PM,FALSE,TRUE,04/10/14,07:10 PM,07:10 PM,FREE,BUSY
04/11/14,08:10 PM,08:10 PM,White Sox,U.S. Cellular Field,"Local TV: SportsTime Ohio ----- Local Radio: WTAM 1100",04/11/14,04/11/14,11:10 PM,11:10 PM,FALSE,TRUE,04/11/14,07:10 PM,07:10 PM,FREE,BUSY
04/12/14,02:10 PM,02:10 PM,White Sox,U.S. Cellular Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/12/14,04/12/14,05:10 PM,05:10 PM,FALSE,TRUE,04/12/14,01:10 PM,01:10 PM,FREE,BUSY
04/13/14,02:10 PM,02:10 PM,White Sox,U.S. Cellular Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/13/14,04/13/14,05:10 PM,05:10 PM,FALSE,TRUE,04/13/14,01:10 PM,01:10 PM,FREE,BUSY
04/16/14,07:08 PM,07:08 PM,Tigers,Comerica Park,"Local TV: MLBN -- SportsTime Ohio ----- Local Radio: WMMS 100.7",04/16/14,04/16/14,10:08 PM,10:08 PM,FALSE,TRUE,04/16/14,06:08 PM,06:08 PM,FREE,BUSY
04/17/14,01:08 PM,01:08 PM,Tigers,Comerica Park,"Local TV: MLBN -- SportsTime Ohio ----- Local Radio: WTAM 1100",04/17/14,04/17/14,04:08 PM,04:08 PM,FALSE,TRUE,04/17/14,12:08 PM,12:08 PM,FREE,BUSY
04/18/14,07:05 PM,07:05 PM,Blue Jays,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/18/14,04/18/14,10:05 PM,10:05 PM,FALSE,TRUE,04/18/14,06:05 PM,06:05 PM,FREE,BUSY
04/19/14,01:05 PM,01:05 PM,Blue Jays,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/19/14,04/19/14,04:05 PM,04:05 PM,FALSE,TRUE,04/19/14,12:05 PM,12:05 PM,FREE,BUSY
04/20/14,01:05 PM,01:05 PM,Blue Jays,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/20/14,04/20/14,04:05 PM,04:05 PM,FALSE,TRUE,04/20/14,12:05 PM,12:05 PM,FREE,BUSY
04/21/14,07:05 PM,07:05 PM,Royals,Progressive Field,"Local TV: SportsTime Ohio ----- Local Radio: WMMS 100.7 -- WTAM 1100",04/21/14,04/21/14,10:05 PM,10:05 PM,FALSE,TRUE,04/21/14,06:05 PM,06:05 PM,FREE,BUSY
