START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
7/14/2015,3:33 AM,3:33 AM,AL All-Stars at NL All-Stars,Great American Ball Park,7/14/2015,7/14/2015,6:33 AM,6:33 AM
7/17/2015,6:40 PM,9:40 PM,D-backs,Chase Field,7/17/2015,7/18/2015,9:40 PM,12:40 AM
7/18/2015,5:10 PM,8:10 PM,D-backs,Chase Field,7/18/2015,7/18/2015,8:10 PM,11:10 PM
7/19/2015,1:10 PM,4:10 PM,D-backs,Chase Field,7/19/2015,7/19/2015,4:10 PM,7:10 PM
7/20/2015,3:33 AM,3:33 AM,Padres,Petco Park,7/20/2015,7/20/2015,6:33 AM,6:33 AM
7/21/2015,3:33 AM,3:33 AM,Padres,Petco Park,7/21/2015,7/21/2015,6:33 AM,6:33 AM
7/22/2015,3:33 AM,3:33 AM,Padres,Petco Park,7/22/2015,7/22/2015,6:33 AM,6:33 AM
7/24/2015,7:15 PM,10:15 PM,Athletics,AT&T Park,7/24/2015,7/25/2015,10:15 PM,1:15 AM
7/25/2015,1:05 PM,4:05 PM,Athletics,AT&T Park,7/25/2015,7/25/2015,4:05 PM,7:05 PM
7/26/2015,1:05 PM,4:05 PM,Athletics,AT&T Park,7/26/2015,7/26/2015,4:05 PM,7:05 PM
7/27/2015,7:15 PM,10:15 PM,Brewers,AT&T Park,7/27/2015,7/28/2015,10:15 PM,1:15 AM
7/28/2015,7:15 PM,10:15 PM,Brewers,AT&T Park,7/28/2015,7/29/2015,10:15 PM,1:15 AM
7/29/2015,12:45 PM,3:45 PM,Brewers,AT&T Park,7/29/2015,7/29/2015,3:45 PM,6:45 PM
7/31/2015,5:05 PM,8:05 PM,Rangers,Globe Life Park in Arlington,7/31/2015,7/31/2015,8:05 PM,11:05 PM
8/1/2015,5:05 PM,8:05 PM,Rangers,Globe Life Park in Arlington,8/1/2015,8/1/2015,8:05 PM,11:05 PM
8/2/2015,12:05 PM,3:05 PM,Rangers,Globe Life Park in Arlington,8/2/2015,8/2/2015,3:05 PM,6:05 PM
8/3/2015,4:10 PM,7:10 PM,Braves,Turner Field,8/3/2015,8/3/2015,7:10 PM,10:10 PM
8/4/2015,4:10 PM,7:10 PM,Braves,Turner Field,8/4/2015,8/4/2015,7:10 PM,10:10 PM
8/5/2015,4:10 PM,7:10 PM,Braves,Turner Field,8/5/2015,8/5/2015,7:10 PM,10:10 PM
8/6/2015,5:05 PM,8:05 PM,Cubs,Wrigley Field,8/6/2015,8/6/2015,8:05 PM,11:05 PM
8/7/2015,1:05 PM,4:05 PM,Cubs,Wrigley Field,8/7/2015,8/7/2015,4:05 PM,7:05 PM
8/8/2015,1:05 PM,4:05 PM,Cubs,Wrigley Field,8/8/2015,8/8/2015,4:05 PM,7:05 PM
8/9/2015,3:33 AM,3:33 AM,Cubs,Wrigley Field,8/9/2015,8/9/2015,6:33 AM,6:33 AM
8/11/2015,7:15 PM,10:15 PM,Astros,AT&T Park,8/11/2015,8/12/2015,10:15 PM,1:15 AM
8/12/2015,12:45 PM,3:45 PM,Astros,AT&T Park,8/12/2015,8/12/2015,3:45 PM,6:45 PM
8/13/2015,7:15 PM,10:15 PM,Nationals,AT&T Park,8/13/2015,8/14/2015,10:15 PM,1:15 AM
8/14/2015,7:15 PM,10:15 PM,Nationals,AT&T Park,8/14/2015,8/15/2015,10:15 PM,1:15 AM
8/15/2015,7:05 PM,10:05 PM,Nationals,AT&T Park,8/15/2015,8/16/2015,10:05 PM,1:05 AM
8/16/2015,1:05 PM,4:05 PM,Nationals,AT&T Park,8/16/2015,8/16/2015,4:05 PM,7:05 PM
8/17/2015,5:15 PM,8:15 PM,Cardinals,Busch Stadium,8/17/2015,8/17/2015,8:15 PM,11:15 PM
8/18/2015,5:15 PM,8:15 PM,Cardinals,Busch Stadium,8/18/2015,8/18/2015,8:15 PM,11:15 PM
