START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,DESCRIPTION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET,REMINDER_OFF,REMINDER_ON,REMINDER_DATE,REMINDER_TIME,REMINDER_TIME_ET,SHOWTIMEAS_FREE,SHOWTIMEAS_BUSY
01/16/2016,7:30 PM,10:30 PM,Dallas,SAP Center - San Jose - CA,FS-SW /  CSN-CA,01/16/2016,01/17/2016,10:30 PM,1:30 AM,FALSE,TRUE,01/16/2016,6:30 PM,9:30 PM,FREE,BUSY
01/18/2016,7:30 PM,10:30 PM,Ottawa,SAP Center - San Jose - CA,RDS / TSN5 /  CSN-CA,01/18/2016,01/19/2016,10:30 PM,1:30 AM,FALSE,TRUE,01/18/2016,6:30 PM,9:30 PM,FREE,BUSY
01/21/2016,7:00 PM,9:00 PM,Arizona,Gila River Arena - Glendale - AZ,CSN-CA /  FS-A,01/21/2016,01/22/2016,10:00 PM,12:00 AM,FALSE,TRUE,01/21/2016,6:00 PM,8:00 PM,FREE,BUSY
01/23/2016,1:00 PM,4:00 PM,Minnesota,SAP Center - San Jose - CA,FS-N / FS-WI /  CSN-CA,01/23/2016,01/23/2016,4:00 PM,7:00 PM,FALSE,TRUE,01/23/2016,12:00 PM,3:00 PM,FREE,BUSY
01/24/2016,7:00 PM,10:00 PM,Los Angeles,SAP Center - San Jose - CA,FS-W /  CSN-CA,01/24/2016,01/25/2016,10:00 PM,1:00 AM,FALSE,TRUE,01/24/2016,6:00 PM,9:00 PM,FREE,BUSY
01/26/2016,7:00 PM,10:00 PM,Colorado,SAP Center - San Jose - CA,NBCSN,01/26/2016,01/27/2016,10:00 PM,1:00 AM,FALSE,TRUE,01/26/2016,6:00 PM,9:00 PM,FREE,BUSY
02/02/2016,7:00 PM,10:00 PM,Anaheim,Honda Center - Anaheim - CA,CSN-CA /  PRIME / FS-SD,02/02/2016,02/03/2016,10:00 PM,1:00 AM,FALSE,TRUE,02/02/2016,6:00 PM,9:00 PM,FREE,BUSY
02/04/2016,7:00 PM,8:00 PM,St Louis,Scottrade Center - St. Louis - MO,CSN-CA /  FS-MW,02/04/2016,02/04/2016,10:00 PM,11:00 PM,FALSE,TRUE,02/04/2016,6:00 PM,7:00 PM,FREE,BUSY
02/06/2016,7:00 PM,8:00 PM,Nashville,Bridgestone Arena - Nashville - TN,CSN-CA /  FS-TN,02/06/2016,02/06/2016,10:00 PM,11:00 PM,FALSE,TRUE,02/06/2016,6:00 PM,7:00 PM,FREE,BUSY
02/09/2016,7:30 PM,8:30 PM,Chicago,United Center - Chicago - IL,CSN-CA /  CSN-CH,02/09/2016,02/09/2016,10:30 PM,11:30 PM,FALSE,TRUE,02/09/2016,6:30 PM,7:30 PM,FREE,BUSY
