START_DATE,START_TIME,START_TIME_ET,AGAINST,LOCATION,END_DATE,END_DATE_ET,END_TIME,END_TIME_ET
7/18/2015,3:33 AM,3:33 AM,Reds,Great American Ball Park,7/18/2015,7/18/2015,6:33 AM,6:33 AM
7/19/2015,1:10 PM,1:10 PM,Reds,Great American Ball Park,7/19/2015,7/19/2015,4:10 PM,4:10 PM
7/21/2015,8:10 PM,8:10 PM,Brewers,Miller Park,7/21/2015,7/21/2015,11:10 PM,11:10 PM
7/22/2015,2:10 PM,2:10 PM,Brewers,Miller Park,7/22/2015,7/22/2015,5:10 PM,5:10 PM
7/23/2015,3:33 AM,3:33 AM,White Sox,Progressive Field,7/23/2015,7/23/2015,6:33 AM,6:33 AM
7/24/2015,3:33 AM,3:33 AM,White Sox,Progressive Field,7/24/2015,7/24/2015,6:33 AM,6:33 AM
7/25/2015,3:33 AM,3:33 AM,White Sox,Progressive Field,7/25/2015,7/25/2015,6:33 AM,6:33 AM
7/26/2015,3:33 AM,3:33 AM,White Sox,Progressive Field,7/26/2015,7/26/2015,6:33 AM,6:33 AM
7/27/2015,3:33 AM,3:33 AM,Royals,Progressive Field,7/27/2015,7/27/2015,6:33 AM,6:33 AM
7/28/2015,3:33 AM,3:33 AM,Royals,Progressive Field,7/28/2015,7/28/2015,6:33 AM,6:33 AM
7/29/2015,3:33 AM,3:33 AM,Royals,Progressive Field,7/29/2015,7/29/2015,6:33 AM,6:33 AM
7/30/2015,10:05 PM,10:05 PM,Athletics,O.co Coliseum,7/31/2015,7/31/2015,1:05 AM,1:05 AM
7/31/2015,9:35 PM,9:35 PM,Athletics,O.co Coliseum,8/1/2015,8/1/2015,12:35 AM,12:35 AM
8/1/2015,9:05 PM,9:05 PM,Athletics,O.co Coliseum,8/2/2015,8/2/2015,12:05 AM,12:05 AM
8/2/2015,4:05 PM,4:05 PM,Athletics,O.co Coliseum,8/2/2015,8/2/2015,7:05 PM,7:05 PM
8/3/2015,10:05 PM,10:05 PM,Angels,Angel Stadium of Anaheim,8/4/2015,8/4/2015,1:05 AM,1:05 AM
8/4/2015,10:05 PM,10:05 PM,Angels,Angel Stadium of Anaheim,8/5/2015,8/5/2015,1:05 AM,1:05 AM
8/5/2015,3:35 PM,3:35 PM,Angels,Angel Stadium of Anaheim,8/5/2015,8/5/2015,6:35 PM,6:35 PM
8/7/2015,3:33 AM,3:33 AM,Twins,Progressive Field,8/7/2015,8/7/2015,6:33 AM,6:33 AM
8/8/2015,3:33 AM,3:33 AM,Twins,Progressive Field,8/8/2015,8/8/2015,6:33 AM,6:33 AM
8/9/2015,3:33 AM,3:33 AM,Twins,Progressive Field,8/9/2015,8/9/2015,6:33 AM,6:33 AM
8/11/2015,3:33 AM,3:33 AM,Yankees,Progressive Field,8/11/2015,8/11/2015,6:33 AM,6:33 AM
8/12/2015,3:33 AM,3:33 AM,Yankees,Progressive Field,8/12/2015,8/12/2015,6:33 AM,6:33 AM
8/13/2015,3:33 AM,3:33 AM,Yankees,Progressive Field,8/13/2015,8/13/2015,6:33 AM,6:33 AM
8/14/2015,8:10 PM,8:10 PM,Twins,Target Field,8/14/2015,8/14/2015,11:10 PM,11:10 PM
8/15/2015,3:33 AM,3:33 AM,Twins,Target Field,8/15/2015,8/15/2015,6:33 AM,6:33 AM
8/16/2015,2:10 PM,2:10 PM,Twins,Target Field,8/16/2015,8/16/2015,5:10 PM,5:10 PM
8/17/2015,7:10 PM,7:10 PM,Red Sox,Fenway Park,8/17/2015,8/17/2015,10:10 PM,10:10 PM
8/18/2015,7:10 PM,7:10 PM,Red Sox,Fenway Park,8/18/2015,8/18/2015,10:10 PM,10:10 PM
8/19/2015,7:10 PM,7:10 PM,Red Sox,Fenway Park,8/19/2015,8/19/2015,10:10 PM,10:10 PM
